sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
8,,Default,simple,"Tout pour un bain relaxant","Default Category",base,Blanc,,,"2013-12-21 21:37:21",,,,,"Pour commencer la journée du bon pied avec ses chansons préférées, cette charmante radio tout en rondeur s’écoute sous la douche. Facile à utiliser, cette petite radio étanche est dotée d’un système de recherche automatique des stations. Sa ventouse permet de la fixer solidement sur le carrelage ou sur la vitre. C’est parti pour une douche en chansons !

CARACTÉRISTIQUES TECHNIQUES

Auto scan des stations.

Étanche.

Fonctionne avec 2 batteries AAA Ni-mH 800 mAh 1,2 V fournies.

S'accroche à ml'aide d'une ventouse sur le carrelage ou d'une vitre.

Ø. 10 cm - Épaisseur. 5 cm.
Garantie : 2 ans ",,,0,/2/2/225_1_.jpg,,,,,,,,,"Use config","Use config","Radio de douche blanche",,,"Block after Info Column",,15.9500,0,"Équipée d'une ventouse, se fixe facilement sur le carrelage ou la vitre
Étanche, ne craint pas les éclaboussures sous la douche
Dotée d'un système de recherche automatique des stations",/2/2/225_1_.jpg,,,,,1,0,/2/2/225_1_.jpg,,"2013-12-21 21:37:21",radio-de-douche-blanche,radio-de-douche-blanche.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/2/2/225_1_.jpg,,1,0,,,,
,,,,"Tout pour un bain relaxant/Accessoires","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/2/-/2-15130420-10.jpg,,2,0,,,,
9,,Default,simple,"Des senteurs qui enivrent","Default Category",base,,,,"2013-12-21 21:39:59",,,,,"Ce brûle-encens à la conception raffinée, en métal finement découpé, pour diffuser avec élégance les volutes parfumées de vos encens préférés, tout en protégeant vos meubles des cendres consumées.

Il est livré avec un encens parfumé à la senteur de frangipanier.

Contient : 1 brûle-encens et 1 bâton d'encens senteur frangipanier.
H. 28 cm - Ø. 3 cm.",,,0,/2/2/225_4_.jpg,,,,,,,,,"Use config","Use config","Brûle-encens métal & verre",,,"Block after Info Column",,16.9500,0,"Un superbe brûle-parfum au design moderne
Dévoilant une senteur sucrée et délicate",/2/2/225_4_.jpg,,,,,1,0,/2/2/225_4_.jpg,,"2013-12-21 21:39:59",brule-encens-metal-verre,brule-encens-metal-verre.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/2/2/225_4_.jpg,,1,0,,,,
,,,,"Des senteurs qui enivrent/Bougeoirs, porte-encens, brûle-parfums","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Default,simple,"Des senteurs qui enivrent","Default Category",base,,,,"2013-12-21 21:43:29",,,,,"Lorsque s’allume la première bougie du chandelier de l’avant les festivités d’hiver démarrent. Au coeur des fjörds, des pins et des nuits de glace, un parfum délicat de résine et de bois précieux envahi les maisons pour illuminer les intérieurs et les parfumer de chaleur.

Ce parfum tout en finesse dévoile des accords boisés de cèdre et de pin mêlant les effluves vertes d’aiguilles de sapin et de résine savoureuse. Il suffit d'allumer un bâton pour profiter rapidement de cette senteur chaleureuse dans la maison.

Symbole des récoltes et du renouveau la paille joue un rôle important dans les traditions scandinaves, en Suède on l’appelle julham “paille de Noël”, elle est tressée sous forme de magnifiques étoiles et de couronnes que l’on accroche dans le sapin de Noël.

Contient : 4 bâtons d'encens.",,,0,/2/2/225_3_.jpg,,,,,,,,,"Use config","Use config","Bâtons d'encens Sapin blanc",,,"Block after Info Column",,6.9500,0,"Une senteur verte et boisée
Idéale pour parfumer rapidement la maison",/2/2/225_3_.jpg,,,,,1,0,/2/2/225_3_.jpg,,"2013-12-21 21:43:29",batons-d-encens-sapin-blanc,batons-d-encens-sapin-blanc.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/2/2/225_3_.jpg,,1,0,,,,
,,,,"Des senteurs qui enivrent/Encens","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Default,simple,"Des senteurs qui enivrent","Default Category",base,,,,"2013-12-21 21:45:09",,,,,"Formulé à base d'essences naturelles, la senteur Cèdre est une nouvelle façon de vivre la maison, en paix avec l’environnement et soi-même. Il suffit de faire brûler un bâton d'encens pour profiter rapidement de ce parfum chaleureux aux notes subtilement boisées.
Nos encens volutes légères sont fabriqués artisanalement à partir de composants naturels. Ils sont mis au point pour réduire l’émission de fumée et offrir un rendu olfactif optimum.

Contient : 25 bâtonnets d’encens volutes légères.",,,0,/2/2/225_2_.jpg,,,,,,,,,"Use config","Use config","Bâtonnets d'encens Cèdre Esteban",,,"Block after Info Column",,5.0000,0,"Une senteur chaleureuse et boisée
L'idéal pour parfumer rapidement la maison",/2/2/225_2_.jpg,,,,,1,0,/2/2/225_2_.jpg,,"2013-12-21 21:45:09",batonnets-d-encens-cedre-esteban,batonnets-d-encens-cedre-esteban.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/2/2/225_2_.jpg,,1,0,,,,
,,,,"Des senteurs qui enivrent/Encens","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,Default,simple,"Des senteurs qui enivrent/Bougies parfumées","Default Category",base,,,,"2013-12-21 21:53:22",,,,,"À la fois photophore et diffuseur de parfum, cette bougie permet de créer une ambiance apaisante et romantique. On peut la faire brûler dans la salle de bain lorsque l'on prend un bain pour se détendre, dans le salon pour créer une ambiance chaleureuse, dans la bibliothèque ou la chambre pour se relaxer...

Elle dévoile une senteur douce et suave aux notes gourmandes évoquant les délicieux gâteaux à la fleur d'oranger, au départ tendre et suave rafraîchi par des notes vertes.

Cette bougie coulée à la main est fabriquée dans des ateliers en Provence à partir d'un véritable secret de fabrication. Façonnée à la main après plus d'une dizaine d'opérations, chaque bougie est unique et exceptionelle.

Sa cire 100% naturelle associant les cires végétales à la cire d'abeille et sa mèche en pur coton permettent de révéler toute la finesse et la richesse des parfums.

Cette bougie offre environ trente heures de combustion. Et une fois la bougie consumée, l'élégant verre soufflé se transformera en un ravissant photophore.


Poids : 175 g.

Composition : 100% cire naturelle.

Environ 30 heures de combustion.

Pour une utilisation efficace et optimale, ne pas laisser brûler la bougie plus de deux heures par jour.

Utiliser sur une surface plane, non vernie et non cirée. Éviter le contact avec la peau et les yeux. Ne pas avaler. En cas d'ingestion, de projection sur la peau ou dans les yeux, consulter un médecin et lui montrer l'emballage. Contient du limonene pouvant entraîner une réaction allergique.


Ø. 7,8 cm - H. 10 cm.
Garantie : 2 ans",,,0,/0/-/0-60145280-2.jpg,,,,,,,,,"Use config","Use config","Bougie parfumée Fleur d'oranger",,,"Block after Info Column",,14.9500,0," Bougie 100% cire naturelle
 30 heures de combustion environ
 Une senteur douce et gourmande",/0/-/0-60145280-2.jpg,,,,,1,0,/0/-/0-60145280-2.jpg,,"2013-12-21 21:53:22",bougie-parfumee-fleur-d-oranger,bougie-parfumee-fleur-d-oranger.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/0/-/0-60145280-2.jpg,,1,0,,,,
,,,,"Des senteurs qui enivrent/Bougeoirs, porte-encens, brûle-parfums","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/2/-/2-60145280-1.jpg,,2,0,,,,
